0 		id 	移入: id	
0 4 	id 	= 	移入: =	
0 4 10 	id = 	( 	移入: (	
0 4 10 23 	id = ( 	integer 	移入: integer	
0 4 10 23 36 	id = ( integer 	* 	归约16: val->integer	
0 4 10 23 38 	id = ( val 	* 	归约14: factor->val	
0 4 10 23 33 	id = ( factor 	* 	归约12: term->factor	
0 4 10 23 37 	id = ( term 	* 	移入: *	
0 4 10 23 37 50 	id = ( term * 	integer 	移入: integer	
0 4 10 23 37 50 36 	id = ( term * integer 	+ 	归约16: val->integer	
0 4 10 23 37 50 38 	id = ( term * val 	+ 	归约14: factor->val	
0 4 10 23 37 50 61 	id = ( term * factor 	+ 	归约11: term->term * factor	
0 4 10 23 37 	id = ( term 	+ 	归约10: expr->term	
0 4 10 23 44 	id = ( expr 	+ 	移入: +	
0 4 10 23 44 48 	id = ( expr + 	integer 	移入: integer	
0 4 10 23 44 48 36 	id = ( expr + integer 	) 	归约16: val->integer	
0 4 10 23 44 48 38 	id = ( expr + val 	) 	归约14: factor->val	
0 4 10 23 44 48 33 	id = ( expr + factor 	) 	归约12: term->factor	
0 4 10 23 44 48 59 	id = ( expr + term 	) 	归约9: expr->expr + term	
0 4 10 23 44 	id = ( expr 	) 	移入: )	
0 4 10 23 44 56 	id = ( expr ) 	+ 	归约13: factor->( expr )	
0 4 10 25 	id = factor 	+ 	归约12: term->factor	
0 4 10 29 	id = term 	+ 	归约10: expr->term	
0 4 10 24 	id = expr 	+ 	移入: +	
0 4 10 24 45 	id = expr + 	float 	移入: float	
0 4 10 24 45 26 	id = expr + float 	semi 	归约17: val->float	
0 4 10 24 45 30 	id = expr + val 	semi 	归约14: factor->val	
0 4 10 24 45 25 	id = expr + factor 	semi 	归约12: term->factor	
0 4 10 24 45 57 	id = expr + term 	semi 	归约9: expr->expr + term	
0 4 10 24 	id = expr 	semi 	归约8: statement->id = expr	
0 6 	statement 	semi 	归约3: S->statement	
0 2 	S 	semi 	移入: semi	
0 2 8 	S semi 	id 	移入: id	
0 2 8 4 	S semi id 	= 	移入: =	
0 2 8 4 10 	S semi id = 	integer 	移入: integer	
0 2 8 4 10 28 	S semi id = integer 	semi 	归约16: val->integer	
0 2 8 4 10 30 	S semi id = val 	semi 	归约14: factor->val	
0 2 8 4 10 25 	S semi id = factor 	semi 	归约12: term->factor	
0 2 8 4 10 29 	S semi id = term 	semi 	归约10: expr->term	
0 2 8 4 10 24 	S semi id = expr 	semi 	归约8: statement->id = expr	
0 2 8 21 	S semi statement 	semi 	归约1: S->S semi statement	
0 2 	S 	semi 	移入: semi	
0 2 8 	S semi 	id 	移入: id	
0 2 8 4 	S semi id 	= 	移入: =	
0 2 8 4 10 	S semi id = 	integer 	移入: integer	
0 2 8 4 10 28 	S semi id = integer 	semi 	归约16: val->integer	
0 2 8 4 10 30 	S semi id = val 	semi 	归约14: factor->val	
0 2 8 4 10 25 	S semi id = factor 	semi 	归约12: term->factor	
0 2 8 4 10 29 	S semi id = term 	semi 	归约10: expr->term	
0 2 8 4 10 24 	S semi id = expr 	semi 	归约8: statement->id = expr	
0 2 8 21 	S semi statement 	semi 	归约1: S->S semi statement	
0 2 	S 	semi 	移入: semi	
0 2 8 	S semi 	id 	移入: id	
0 2 8 4 	S semi id 	= 	移入: =	
0 2 8 4 10 	S semi id = 	integer 	移入: integer	
0 2 8 4 10 28 	S semi id = integer 	semi 	归约16: val->integer	
0 2 8 4 10 30 	S semi id = val 	semi 	归约14: factor->val	
0 2 8 4 10 25 	S semi id = factor 	semi 	归约12: term->factor	
0 2 8 4 10 29 	S semi id = term 	semi 	归约10: expr->term	
0 2 8 4 10 24 	S semi id = expr 	semi 	归约8: statement->id = expr	
0 2 8 21 	S semi statement 	semi 	归约1: S->S semi statement	
0 2 	S 	semi 	移入: semi	
0 2 8 	S semi 	IF 	移入: IF	
0 2 8 1 	S semi IF 	( 	移入: (	
0 2 8 1 7 	S semi IF ( 	id 	移入: id	
0 2 8 1 7 16 	S semi IF ( id 	op_cmp 	归约15: val->id	
0 2 8 1 7 19 	S semi IF ( val 	op_cmp 	归约14: factor->val	
